2016-03-07 00:24:17.504 25251 LOG File descriptor limit: 65536 (H:65536), max_client_conn: 300, max fds possible: 510
2016-03-07 00:24:17.504 25251 LOG listening on 127.0.0.1:6543
2016-03-07 00:24:17.504 25251 LOG listening on unix:/tmp/.s.PGSQL.6543
2016-03-07 00:24:17.504 25251 LOG process up: pgbouncer 1.6.1, libevent 2.0.16-stable (epoll), adns: evdns2
2016-03-07 00:24:19.122 25251 LOG Got SIGHUP re-reading config
2016-03-07 02:03:17.578 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:04:17.579 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:05:17.579 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:06:17.580 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:07:17.581 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:08:17.582 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:09:17.583 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:10:17.584 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:11:17.584 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:12:17.584 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:13:17.585 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:14:17.585 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:15:17.587 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:16:17.587 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:17:17.587 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:18:17.588 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:19:17.589 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:20:17.589 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:21:17.590 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:22:17.591 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:23:17.592 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:24:17.593 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:25:17.593 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:26:17.594 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:27:17.595 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:28:17.596 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:29:17.597 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:30:17.597 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:31:17.597 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:32:17.598 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:33:17.599 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:34:17.599 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:35:17.600 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:36:17.600 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:37:17.601 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:38:17.601 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:39:17.601 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:40:17.602 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:41:17.603 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:42:17.603 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:43:17.603 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:44:17.604 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:45:17.605 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:46:17.606 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:47:17.606 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:48:17.607 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:49:17.607 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:50:17.607 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:51:17.608 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:52:17.609 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:53:17.611 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:54:17.612 25251 LOG Stats: 0 req/s, in 110 b/s, out 3799 b/s,query 92553 us
2016-03-07 02:55:17.612 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:56:17.613 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:57:17.614 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:58:17.615 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 02:59:17.616 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:00:17.616 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:01:17.617 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:02:17.617 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:03:17.618 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:04:17.619 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:05:17.619 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:06:17.620 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:07:17.621 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:08:17.621 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:09:17.622 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:10:17.623 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:11:17.623 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:12:17.624 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:13:17.625 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:14:17.625 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:15:17.626 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:16:17.627 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:17:17.628 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:18:17.628 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:19:17.629 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:20:17.630 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:21:17.630 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:22:17.631 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:23:17.632 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:24:17.632 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:25:17.633 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:26:17.633 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:27:17.634 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:28:17.635 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:29:17.636 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:30:17.637 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:31:17.638 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:32:17.638 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:33:17.639 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:34:17.640 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:35:17.640 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:36:17.640 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:37:17.641 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:38:17.642 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:39:17.643 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:40:17.644 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:41:17.645 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:42:17.645 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:43:17.646 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:44:17.647 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:45:17.647 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:46:17.648 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:47:17.648 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:48:17.648 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:49:17.649 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:50:17.650 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:51:17.651 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:52:17.652 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:53:17.653 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:54:17.654 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:55:17.654 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:56:17.654 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:57:17.655 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:58:17.656 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 03:59:17.657 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:00:17.658 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:01:17.659 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:02:17.660 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:03:17.660 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:04:17.661 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:05:17.662 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:06:17.663 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:07:17.664 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:08:17.664 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:09:17.665 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:10:17.666 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:11:17.666 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:12:17.668 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:13:17.669 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:14:17.669 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:15:17.669 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:16:17.670 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:17:17.670 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:18:17.670 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:19:17.671 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:20:17.672 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:21:17.672 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:22:17.673 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 04:23:17.673 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
